ID,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Channel,Views,Likes,Comments,official_video,Stream
15519,C. Tangana,Tú Me Dejaste De Querer,El Madrileño,album,0.823,0.723,4,-4.778,0.229,0.311,0.003,0.100,0.505,83.970,198493,CTanganaVEVO,178840590,1367452,26492,TRUE,316580745
15520,C. Tangana,Antes de Morirme (feat. ROSALÍA),Antes de Morirme (feat. ROSALÍA),single,0.864,0.497,8,-8.886,0.180,0.074,0.003,0.108,0.133,97.930,199994,AgzTv,131212993,809242,12657,TRUE,218460128
15521,C. Tangana,Ateo,El Madrileño (La Sobremesa),album,0.830,0.699,1,-5.850,0.038,0.171,0.000,0.169,0.771,130.018,240000,CTanganaVEVO,61125504,485966,16296,TRUE,149161484
15522,C. Tangana,Ingobernable,El Madrileño,album,0.705,0.757,6,-5.608,0.066,0.195,0.000,0.052,0.737,104.973,187053,CTanganaVEVO,29802506,216495,3224,TRUE,125262764
15523,C. Tangana,Una y Mil Veces - Rumba,Quejíos de un Maleante,album,0.804,0.868,11,-4.069,0.143,0.048,0.000,0.149,0.562,108.030,200251,OmarMontesVEVO,5130508,50028,1174,TRUE,17037256
15524,C. Tangana,Párteme La Cara,El Madrileño,album,0.761,0.296,0,-10.220,0.048,0.551,0.000,0.134,0.579,127.938,167867,CTanganaVEVO,18336567,226479,4169,TRUE,78101277
15525,C. Tangana,CAMBIA!,El Madrileño,album,0.557,0.687,2,-4.721,0.081,0.551,0.000,0.098,0.638,105.508,188093,CTanganaVEVO,10827571,127492,2565,TRUE,45142720
15526,C. Tangana,Nunca Estoy,El Madrileño,album,0.913,0.369,2,-5.299,0.120,0.476,0.006,0.309,0.436,135.019,162493,CTanganaVEVO,32696900,299726,5168,TRUE,109537933
15527,C. Tangana,Llorando en la Limo (feat. Alizzz),Avida Dollars,album,0.792,0.418,9,-8.484,0.176,0.041,0.000,0.245,0.371,154.997,139355,CTanganaVEVO,41416052,413446,10818,TRUE,93392701
15528,Clean Bandit,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),album,0.715,0.605,0,-5.128,0.043,0.239,0.000,0.189,0.454,122.956,212733,Clean Bandit,1207659517,7387812,187852,TRUE,1220003456
15529,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),album,0.717,0.730,9,-4.729,0.057,0.383,0.000,0.398,0.792,102.002,251173,Clean Bandit,2761229559,13333328,301384,TRUE,1312649614
15530,Clean Bandit,Rather Be (feat. Jess Glynne),New Eyes,album,0.799,0.586,11,-6.735,0.038,0.162,0.000,0.193,0.549,120.970,227833,Clean Bandit,707730122,3924598,97785,TRUE,1096645997
